Country_x,City,Latitude,Longitude,City_ID,Cloudiness,Country_y,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
ru,ostrovnoy,68.05305600000001,39.513056,0,2,RU,1558378754,72,68.05,39.51,37.5,7.16
mu,mahebourg,-20.4080556,57.7,1,75,MU,1558378503,74,-20.41,57.7,78.8,11.41
gl,qaanaaq,77.4894444,-69.3322222,2,25,GL,1558378755,73,77.48,-69.36,22.2,2.37
cn,zhuhai,22.276944,113.567778,3,0,CN,1558378755,39,40.71,112.04,44.6,4.47
za,cape town,-33.925839,18.423218,4,20,ZA,1558378755,76,-33.93,18.42,55.99,8.05
pf,atuona,-9.8,-139.0333333,5,78,PF,1558378755,76,-9.8,-139.03,81.96,16.49
au,flinders,-32.799240000000005,134.211594,6,0,AU,1558378755,62,-34.58,150.85,60.01,11.41
na,opuwo,-18.0666667,13.85,7,0,,1558378523,23,-18.06,13.84,72.06,5.44
ru,tiksi,71.68722199999999,128.869444,8,95,RU,1558378756,88,71.64,128.87,14.1,15.7
ru,pushkinskiye gory,57.020851,28.910296000000002,9,6,RU,1558378756,70,57.02,28.91,65.04,6.93
ru,aykhal,66.0,111.5,10,90,RU,1558378756,48,65.95,111.51,39.2,11.18
br,castro,-24.783333,-50.0,11,0,CL,1558378756,70,-42.48,-73.76,48.2,9.17
cl,castro,-42.463611,-73.80833299999999,11,0,CL,1558378756,70,-42.48,-73.76,48.2,9.17
ck,avarua,-21.207777800000002,-159.775,12,100,CK,1558378756,94,-21.21,-159.78,71.6,2.24
ru,saskylakh,71.916667,114.08333300000001,13,0,RU,1558378757,91,71.97,114.09,4.92,2.26
cl,constitucion,-35.333333,-72.416667,14,5,MX,1558378757,4,23.99,-104.67,84.2,16.11
mx,constitucion,25.036944000000002,-111.66444399999999,14,5,MX,1558378757,4,23.99,-104.67,84.2,16.11
au,albany,-35.003101,117.86595200000001,15,40,US,1558378727,45,42.65,-73.75,82.4,12.75
us,albany,37.8869444,-122.29666670000002,15,40,US,1558378727,45,42.65,-73.75,82.4,12.75
us,albany,31.578333299999997,-84.1558333,15,40,US,1558378727,45,42.65,-73.75,82.4,12.75
us,albany,42.6525,-73.7566667,15,40,US,1558378727,45,42.65,-73.75,82.4,12.75
us,albany,44.6366667,-123.10472220000001,15,40,US,1558378727,45,42.65,-73.75,82.4,12.75
ru,vilyuysk,63.755278000000004,121.62472199999999,16,16,RU,1558378757,59,63.75,121.63,34.62,5.84
ar,ushuaia,-54.8,-68.3,17,75,AR,1558378606,75,-54.81,-68.31,44.6,36.91
mu,bambous virieux,-20.3427778,57.7575,18,75,MU,1558378758,74,-20.34,57.76,78.8,11.41
ru,kodinsk,58.688056,99.184444,19,14,RU,1558378758,81,58.6,99.18,48.84,4.97
bd,teknaf,20.8666667,92.3,20,1,BD,1558378758,85,20.86,92.31,84.66,8.23
au,busselton,-33.652489,115.345497,21,84,AU,1558378758,63,-33.64,115.35,55.0,12.86
id,ambon,-3.6954260000000003,128.181405,22,11,FR,1558378758,93,47.55,-2.56,64.99,5.82
br,maragogi,-9.016667,-35.216667,23,97,BR,1558378610,69,-9.01,-35.22,83.94,9.42
us,fallon,39.47361110000001,-118.7763889,24,90,US,1558378758,53,46.84,-105.12,51.8,18.34
th,kantang,7.405417,99.51561099999999,25,20,TH,1558378759,94,7.42,99.52,78.8,6.93
in,colonelganj,27.133333,81.7,26,0,IN,1558378759,14,27.13,81.7,94.2,5.08
cl,punta arenas,-53.15,-70.916667,27,40,CL,1558378759,61,-53.16,-70.91,50.0,46.08
pf,rikitea,-23.120277800000004,-134.9691667,28,95,PF,1558378669,76,-23.12,-134.97,74.58,12.82
au,new norfolk,-42.78075,147.05938700000002,29,40,AU,1558378759,66,-42.78,147.06,57.99,5.82
na,gobabis,-22.45,18.966666699999998,30,0,,1558378567,24,-22.45,18.97,68.0,2.24
cn,qingdao,36.098611,120.371944,31,0,CN,1558378760,54,36.09,120.35,59.0,2.24
ca,port hardy,50.716667,-127.5,32,90,CA,1558378564,87,50.7,-127.42,53.6,5.82
ru,arman,59.7,150.166667,33,0,RU,1558378760,64,59.7,150.17,31.56,5.3
ru,mamakan,57.816111,114.002778,34,26,RU,1558378760,90,57.82,114.02,31.38,2.82
us,bethel,60.792222200000005,-161.7558333,35,20,US,1558378760,71,60.79,-161.76,51.8,4.68
ca,clinton,43.6,-81.533333,36,75,US,1558378556,54,41.84,-90.19,55.4,10.29
us,clinton,41.278611100000006,-72.5280556,36,75,US,1558378556,54,41.84,-90.19,55.4,10.29
us,clinton,41.84444439999999,-90.18861109999999,36,75,US,1558378556,54,41.84,-90.19,55.4,10.29
us,clinton,38.765,-76.8986111,36,75,US,1558378556,54,41.84,-90.19,55.4,10.29
us,clinton,42.4166667,-71.6833333,36,75,US,1558378556,54,41.84,-90.19,55.4,10.29
us,clinton,32.3413889,-90.32166670000001,36,75,US,1558378556,54,41.84,-90.19,55.4,10.29
us,clinton,38.3686111,-93.7780556,36,75,US,1558378556,54,41.84,-90.19,55.4,10.29
us,clinton,35.515555600000006,-98.9669444,36,75,US,1558378556,54,41.84,-90.19,55.4,10.29
us,clinton,34.4725,-81.88083329999999,36,75,US,1558378556,54,41.84,-90.19,55.4,10.29
us,clinton,36.103333299999996,-84.1319444,36,75,US,1558378556,54,41.84,-90.19,55.4,10.29
us,clinton,41.1397222,-112.0497222,36,75,US,1558378556,54,41.84,-90.19,55.4,10.29
no,varhaug,58.61666700000001,5.65,37,0,NO,1558378761,63,58.61,5.65,64.99,8.05
ru,ayan,56.45,138.166667,38,76,TR,1558378761,58,40.67,33.6,56.94,0.54
py,mayor pablo lagerenza,-19.916667,-60.783333,39,43,PY,1558378761,33,-19.93,-60.77,91.86,14.9
za,hermanus,-34.418696000000004,19.234464000000003,40,9,ZA,1558378761,74,-34.42,19.24,55.0,23.78
ca,torbay,47.65,-52.733332999999995,41,75,CA,1558378627,65,47.66,-52.73,48.0,24.16
ca,yellowknife,62.45,-114.35,42,75,CA,1558378762,26,62.45,-114.38,55.4,8.05
za,kruisfontein,-34.003333000000005,24.731417,43,92,ZA,1558378762,69,-34.0,24.73,55.68,16.53
ec,puerto ayora,-0.75,-90.3166667,44,26,EC,1558378762,86,-0.74,-90.35,79.0,5.99
ni,rosita,13.883333300000002,-84.4,45,72,NI,1558378762,71,13.92,-84.4,84.12,4.41
mg,beloha,-25.1666667,45.05,46,100,MG,1558378762,85,-25.17,45.06,70.08,10.0
